environment,method,steps,n_seeds,mean_eprewmean,std_eprewmean,sem_eprewmean,ci95_halfwidth
BigFish,PPO,41000,5,2.086,0.43223836,0.19330287,0.37887363
BigFish,PPO,81900,5,2.77,0.30846394,0.13794927,0.27038056
BigFish,PPO,123000,5,3.488,0.25232915,0.11284503,0.22117625
BigFish,PPO,164000,5,3.94,0.56885851,0.25440126,0.49862647
BigFish,PPO,205000,5,4.572,0.63562568,0.28426044,0.55715047
BigFish,PPO,246000,5,5.02,0.99982498,0.44713533,0.87638524
BigFish,PPO,287000,5,5.192,0.58831964,0.26310454,0.5156849
BigFish,PPO,328000,5,5.488,0.37897229,0.16948156,0.33218386
BigFish,PPO,369000,5,5.562,0.68166707,0.30485078,0.59750754
BigFish,PPO,410000,5,5.912,0.25897876,0.11581882,0.2270049
BigFish,PPO,451000,5,5.962,0.3553449,0.15891507,0.31147354
BigFish,PPO,492000,5,6.134,0.54302854,0.24284975,0.47598551
BigFish,PPO,532000,5,6.434,0.35732338,0.15979987,0.31320775
BigFish,PPO,573000,5,6.954,0.85089952,0.38053384,0.74584632
BigFish,PPO,614000,5,7.348,1.2803789,0.57260283,1.1223015
BigFish,PPO,655000,5,7.276,0.66541716,0.2975836,0.58326386
BigFish,PPO,696000,5,7.466,1.072581,0.47967281,0.9401587
BigFish,PPO,737000,5,7.57,0.70117758,0.31357615,0.61460925
BigFish,PPO,778000,5,8.284,1.1662461,0.52156112,1.0222598
BigFish,PPO,819000,5,7.988,1.4198486,0.63497559,1.2445522
BigFish,PPO,860000,5,8.202,1.0668036,0.47708909,0.93509462
BigFish,PPO,901000,5,8.334,0.8998222,0.40241272,0.78872894
BigFish,PPO,942000,5,8.918,1.6059172,0.718188,1.4076485
BigFish,PPO,983000,5,8.954,1.3058828,0.58400856,1.1446568
BigFish,PPO,1020000,5,9.106,0.72081898,0.32236005,0.63182569
BigFish,PPO,1060000,5,8.952,0.92258875,0.41259423,0.80868469
BigFish,PPO,1110000,5,8.774,1.1817699,0.52850355,1.035867
BigFish,PPO,1150000,5,8.33,0.80613274,0.36051352,0.7066065
BigFish,PPO,1190000,5,8.902,1.3010073,0.58182815,1.1403832
BigFish,PPO,1230000,5,9.346,1.3322462,0.59579862,1.1677653
BigFish,PPO,1270000,5,8.452,0.99376557,0.44442547,0.87107392
BigFish,PPO,1310000,5,9.16,1.3304886,0.5950126,1.1662247
BigFish,PPO,1350000,5,8.6,0.61668468,0.27578978,0.54054796
BigFish,PPO,1390000,5,8.69,1.4212319,0.63559421,1.2457647
BigFish,PPO,1430000,5,10.148,1.2537025,0.56067281,1.0989187
BigFish,PPO,1470000,5,9.838,0.91941286,0.41117393,0.8059009
BigFish,PPO,1520000,5,10.186,1.2181461,0.54477151,1.0677522
BigFish,PPO,1560000,5,10.348,0.79263485,0.35447708,0.69477508
BigFish,PPO,1600000,5,10.56,1.2876335,0.5758472,1.1286605
BigFish,PPO,1640000,5,10.472,1.6158341,0.722623,1.4163411
BigFish,PPO,1680000,5,11.14,2.2165288,0.99126182,1.9428732
BigFish,PPO,1720000,5,10.348,1.7415711,0.77885429,1.5265544
BigFish,PPO,1760000,5,11.7,0.58309519,0.2607681,0.51110547
BigFish,PPO,1800000,5,11.224,2.1555811,0.96400519,1.8894502
BigFish,PPO,1840000,5,10.41,1.8264173,0.81679863,1.6009253
BigFish,PPO,1880000,5,9.902,1.3499889,0.60373338,1.1833174
BigFish,PPO,1930000,5,10.69,1.194278,0.53409737,1.0468308
BigFish,PPO,1970000,5,10.116,1.477068,0.66056491,1.2947072
BigFish,PPO,2010000,5,10.202,1.4264712,0.6379373,1.2503571
BigFish,PPO,2050000,5,11.026,2.3391836,1.0461147,2.0503848
BigFish,PPO,2090000,5,10.342,1.9905075,0.890182,1.7447567
BigFish,PPO,2130000,5,10.614,0.52390839,0.23429895,0.45922595
BigFish,PPO,2170000,5,11.252,0.99625298,0.44553788,0.87325424
BigFish,PPO,2210000,5,11.698,1.5471005,0.69188438,1.3560934
BigFish,PPO,2250000,5,10.512,1.6477166,0.73688127,1.4442873
BigFish,PPO,2290000,5,11.3,0.65192024,0.29154759,0.57143329
BigFish,PPO,2330000,5,10.72,1.9070396,0.85285403,1.6715939
BigFish,PPO,2380000,5,10.79,1.9552493,0.87441409,1.7138516
BigFish,PPO,2420000,5,10.934,2.5628656,1.1461483,2.2464507
BigFish,PPO,2460000,5,10.822,1.5610637,0.69812893,1.3683327
BigFish,PPO,2500000,5,9.55,2.27617,1.0179342,1.995151
BigFish,PPO,2540000,5,11.046,1.8988365,0.84918549,1.6644036
BigFish,PPO,2580000,5,11.22,2.0537283,0.91845522,1.8001722
BigFish,PPO,2620000,5,10.958,2.9525108,1.320403,2.5879898
BigFish,PPO,2660000,5,10.612,2.1127518,0.94485131,1.8519086
BigFish,PPO,2700000,5,10.604,2.3184219,1.0368298,2.0321864
BigFish,PPO,2740000,5,10.626,2.2379969,1.0008626,1.9616908
BigFish,PPO,2790000,5,11.986,2.3019513,1.0294639,2.0177493
BigFish,PPO,2830000,5,12,2.8760998,1.2862309,2.5210126
BigFish,PPO,2870000,5,11.7,2.7362017,1.2236666,2.3983866
BigFish,PPO,2910000,5,10.542,1.6404024,0.73361025,1.4378761
BigFish,PPO,2950000,5,11.378,2.2104343,0.98853629,1.9375311
BigFish,PPO,2990000,5,11.21,1.8789625,0.84029757,1.6469832
