action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_effective_critic_scale_ratio,joint_actor_effective_scale,joint_actor_fisher_quadratic,joint_actor_normalized_mean_gram_diag,joint_actor_normalized_rhs_l2,joint_actor_normalized_rows_l2,joint_actor_raw_critic_scale_ratio,joint_actor_raw_rows_l2,joint_actor_raw_scale,joint_actor_scale_floor,joint_actor_scale_floor_active,joint_actor_scale_floor_ratio,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_ggn_quadratic,joint_critic_normalized_mean_gram_diag,joint_critic_normalized_rhs_l2,joint_critic_normalized_rows_l2,joint_critic_raw_rows_l2,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_kernel_mode,joint_linear_solve_dtype,joint_policy_direction_l2,joint_policy_post_lr_delta_l2,joint_post_lr_delta_l2,joint_predicted_step_kl,joint_relative_damping,joint_relative_solve_residual,joint_shared_direction_l2,joint_shared_post_lr_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_direction_l2,joint_value_post_lr_delta_l2,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.8384160995483398,5.897722244262695,-0.9440211653709412,-2.200148820877075,0.48647066950798035,0.0,1.0,1.0,512,0.00022500000000000005,1.7935891151428223,467.24,3.4666667,930,0.5358301997184753,0.8117032279899146,2807.4690891435266,0.0008310155244544148,1.0,0.42704877257347107,22.627416610717773,0.8117032279899146,1198.92626953125,2807.4690891435266,34.587383569927226,0.0,0.01,1.0487494190608789e-15,0,0.9331313371658325,0.10649941861629486,0.9999999403953552,0.8184444308280945,22.627416610717773,1330.741943359375,3458.738356992723,21.82097816467285,0.5358302593231201,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.11430346220731735,2.3998532924451865e-05,0.00011250000534346327,1.8315961594628227e-11,0.5,1.0487494190608789e-15,0.4627922773361206,9.716534259496257e-05,1.0487494190608789e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.24468772113323212,5.137329935678281e-05,0.08079005777835846,0.02428305707871914,4.525079250335693,0.00015000000000000004,9,40960,44.62124361097813,40960,1.0,1e-06,paper_sgd_momentum_1e-6,2.5565474033355713,0.29923805594444275,-0.11283575743436813,6.953253746032715,-0.2881760001182556,-1.3279589414596558,0.861739456653595
14,0,-1.0117945671081543,-0.25973960757255554,-1.0132094621658325,-1.6010249853134155,0.009066912345588207,0.0,1.0,1.0,512,0.00033750000000000007,1.4383268356323242,468.03,2.3,932,0.5532508492469788,1.2997216120387252,2754.848925730087,0.00027640332700684667,0.9999999403953552,0.4311079680919647,22.627416610717773,1.2997216120387252,1187.637451171875,2754.848925730087,21.195684523617867,0.0,0.01,7.009749936869551e-16,0,0.9037492871284485,0.2101450264453888,0.9999998807907104,1.0272411108016968,22.62741470336914,1041.7384033203125,2119.5684523617865,18.51424789428711,0.553250789642334,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.07303942739963531,2.2278149117482826e-05,0.0001687500043772161,1.2857506725971746e-11,0.5,7.009749936869551e-16,0.36500251293182373,0.00011133138468721882,7.009749936869551e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.40929800271987915,0.00012484219041652977,0.06996019929647446,-0.022669389843940735,4.368399620056152,0.00022500000000000005,19,81920,88.80162643408403,81920,1.0,1e-06,paper_sgd_momentum_1e-6,2.287750005722046,0.1328269988298416,-0.8550440073013306,0.09816378355026245,-0.9593468904495239,-1.6872552633285522,0.19620326161384583
14,0,-1.045837163925171,0.5936619639396667,-1.0364676713943481,-3.1529479026794434,0.026898778975009918,0.0,1.0,1.0,512,0.0001,1.2455167770385742,652.57,0.9,935,0.4270845055580139,0.8930614001641977,2709.8625328912062,0.004741118289530277,1.0,0.43467167019844055,22.627416610717773,0.8930614001641977,1177.9005126953125,2709.8625328912062,30.343518736706937,0.0,0.01,9.224347031702541e-16,0,1.0,0.07468241453170776,0.9999998807907104,0.7133878469467163,22.62741470336914,1246.43017578125,3034.3518736706937,18.138225555419922,0.4270845055580139,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.10429780185222626,1.0429779649712145e-05,4.270844874554314e-05,2.3705589574651853e-11,0.5,9.224347031702541e-16,0.32086998224258423,3.208699854440056e-05,9.224347031702541e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.2618502974510193,2.6185029128100723e-05,0.07958874106407166,-0.048022106289863586,3.0161118507385254,0.0001,29,122880,132.81023997906595,122880,1.0,1e-06,paper_sgd_momentum_1e-6,3.984550952911377,0.3332713544368744,0.7465400695800781,2.718679666519165,0.8778601884841919,-0.9958878755569458,0.305110901594162
14,0,-1.1515036821365356,2.1227056980133057,-1.163023591041565,-2.581613302230835,0.09355834871530533,0.0,1.0,1.0,512,0.0001,0.775263249874115,595.22,1.3,931,0.3435182273387909,1.06722935308808,2969.646001934395,0.020972512662410736,1.0,0.41522419452667236,22.627416610717773,1.06722935308808,1233.06884765625,2969.646001934395,27.825752668267416,0.0,0.01,1.497266104500482e-15,0,1.0,0.00032715866109356284,0.9999998807907104,0.14138363301753998,22.62741470336914,1193.5989990234375,2782.5752668267414,13.159937858581543,0.3435182571411133,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.13724005222320557,1.372400492982706e-05,3.435182588873431e-05,1.0486255613839646e-10,0.5,1.497266104500482e-15,0.28451451659202576,2.8451451726141386e-05,1.497266104500482e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.13498680293560028,1.3498680345946923e-05,0.06998752802610397,0.010554391890764236,0.10863636434078217,0.0001,39,163840,176.83578028902411,163840,1.0,1e-06,paper_sgd_momentum_1e-6,2.4098668098449707,0.22365964949131012,-0.14097130298614502,2.6306660175323486,-0.22373999655246735,-1.1456230878829956,0.18982519209384918
14,0,-1.1871250867843628,-0.9606754779815674,-1.1701444387435913,-2.292445182800293,0.00763668492436409,0.0,1.0,1.0,512,0.0001,0.32820582389831543,470.09,1.2,934,0.5584748387336731,0.2800799385343344,1142.5285072961515,0.007529313210397959,1.0,0.6694242358207703,22.627416610717773,0.2800799385343344,764.8363037109375,1142.5285072961515,40.79294337448919,0.0,0.01,3.967081995837405e-15,0,0.8952955007553101,4.290781362215057e-06,0.9999999403953552,0.02961958572268486,22.627416610717773,1445.198486328125,4079.2943374489187,6.4441728591918945,0.5584748387336731,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.20686383545398712,1.8520424418966286e-05,4.999999873689376e-05,3.0175754256456244e-11,0.5,3.967081995837405e-15,0.5184948444366455,4.642060594051145e-05,3.967081995837405e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.016265740618109703,1.456264385524264e-06,0.07635696232318878,-0.010248001664876938,0.006989933550357819,0.0001,49,204800,220.82899038679898,204800,1.0,1e-06,paper_sgd_momentum_1e-6,7.070682048797607,0.19536219537258148,-0.5882617235183716,-0.05066806077957153,-0.6659473776817322,-1.1602815389633179,0.048565395176410675
13,1,-1.1287956237792969,-0.8202958106994629,-1.1259268522262573,-1.4560624361038208,0.0044256229884922504,0.0,1.0,1.0,512,0.0001,0.254321426153183,543.72,1.0,928,0.46424514055252075,0.3638994213826094,1710.0603490798062,0.00538641307502985,1.0,0.5471787452697754,22.627416610717773,0.3638994213826094,935.708740234375,1710.0603490798062,46.99266469241848,0.0,0.01,4.602996788376787e-15,0,1.0,1.1641379387583584e-05,1.0,0.02130240947008133,22.627416610717773,1551.136474609375,4699.2664692418475,10.33975601196289,0.46424514055252075,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.16013526916503906,1.601352596480865e-05,4.642451312975027e-05,2.6932062482942776e-11,0.5,4.602996788376787e-15,0.4353133738040924,4.353133772383444e-05,4.602996788376787e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.019558029249310493,1.9558028725441545e-06,0.06426651775836945,-0.04095252603292465,0.004165024496614933,0.0001,59,245760,264.94338908977807,245760,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.10854247212409973,-0.5318261384963989,-0.035376474261283875,-0.5302774906158447,-1.1498489379882812,0.0738934576511383
13,5,-1.053002119064331,-0.43665215373039246,-1.047951102256775,-1.8233201503753662,0.004212058149278164,0.0,1.0,1.0,512,0.0001,0.05980302020907402,621.97,0.3,934,0.09152009338140488,1.1282507177486802,18328.89328955458,0.004354007542133331,0.9999999403953552,0.16713476181030273,22.62741470336914,1.1282507177486802,3063.395751953125,18328.89328955458,162.45408047360422,0.0,0.01,1.0064690974436246e-15,0,1.0,0.0006494573317468166,1.0,0.030519692227244377,22.627416610717773,2884.033447265625,16245.40804736042,15.516350746154785,0.09152009338140488,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.03602072596549988,3.6020724110130686e-06,9.152008715318516e-06,2.1770035427137735e-11,0.5,1.0064690974436246e-15,0.07913654297590256,7.913654371805023e-06,1.0064690974436246e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.028562946245074272,2.8562944862642325e-06,0.5682940483093262,0.03250852972269058,0.029554318636655807,0.0001,69,286720,308.9452984398231,286720,1.0,1e-06,paper_sgd_momentum_1e-6,1.4266643524169922,0.10000000149011612,-1.1115896701812744,-0.31107068061828613,-0.979505181312561,-1.6432546377182007,0.10723813623189926
13,13,-0.922733724117279,-0.8825480341911316,-0.9184337854385376,-1.347985863685608,0.0011273373384028673,0.0,1.0,1.0,512,0.5,1.012396069755006e-11,842.15,0.0,934,0.001654770690947771,0.01,411.7302740434178,6.725046802914982e-35,8.064360951006118e-24,1.1151375770568848,6.42569261688486e-11,8.064360208415483e-26,1.3038461421643888e-09,3.3203412385957406e-21,411.7302740434178,1.0,0.01,1.791046955200875e-16,0,1.0,1.294629100812017e-06,0.9999999403953552,0.010419352911412716,22.627416610717773,4591.3603515625,41173.02740434178,2.001010468433151e-11,0.001654770690947771,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,8.231759458104948e-13,4.115879729052474e-13,0.0008273853454738855,8.406308503643727e-36,0.5,1.791046955200875e-16,0.0010794657282531261,0.0005397328641265631,1.791046955200875e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.0012542009353637695,0.0006271004676818848,-1.288593086130451e-14,-8.44709575176239e-07,0.008730203844606876,0.5,79,327680,352.94173873215914,327680,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.9575709104537964,-0.585237979888916,-0.8972297310829163,-1.2871416807174683,0.039298802614212036
13,13,-0.815312385559082,-0.44406938552856445,-0.8127840757369995,-1.894622802734375,0.0036386530846357346,0.0,1.0,1.0,512,0.5,5.419032410303171e-12,945.33,0.0,936,0.0006007630727253854,0.01,456.5142870273908,7.4789730636888955e-34,5.3147716719315345e-24,1.0590285062789917,5.216476903213696e-11,5.314772256657865e-26,1.1145626643838114e-09,2.426269467461122e-21,456.5142870273908,1.0,0.01,1.7730785660974356e-16,0,1.0,1.8437818383176818e-08,0.9999998807907104,0.004839615430682898,22.62741470336914,4834.61767578125,45651.42870273908,1.7691095116623146e-11,0.0006007630727253854,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,4.783397527900746e-13,2.391698763950373e-13,0.0003003815363626927,9.348716329611119e-35,0.5,1.7730785660974356e-16,0.000421125820139423,0.0002105629100697115,1.7730785660974356e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.0004284499154891819,0.00021422495774459094,-6.470670607807523e-15,5.364418029785156e-07,0.002088363980874419,0.5,89,368640,396.9709872631356,368640,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.8269286751747131,0.26363977789878845,-0.8867501616477966,-1.1785444021224976,0.12103565037250519
13,13,-0.7412629127502441,-0.6625602841377258,-0.7421766519546509,-0.7579878568649292,3.104039569734596e-05,0.0,1.0,1.0,512,0.5,1.9848903770602888e-11,1000.0,0.0,934,0.00010934521560557187,0.01,363.11814660463943,2.9796675316651864e-35,2.777901418076875e-23,1.1874358654022217,1.192596160715098e-10,2.777901071382353e-25,2.2725703541226494e-09,1.0087062884914021e-20,363.11814660463943,1.0,0.01,1.6524492924153403e-16,0,1.0,2.7538313851493967e-09,0.9999999403953552,0.000572783057577908,22.627416610717773,4311.80322265625,36311.81466046394,4.5947325805206773e-11,0.00010934521560557187,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,3.449347404926861e-11,1.7246737024634307e-11,5.467260780278593e-05,3.724584414581483e-36,0.5,1.6524492924153403e-16,7.978276698850095e-05,3.9891383494250476e-05,1.6524492924153403e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,7.477356120944023e-05,3.7386780604720116e-05,-7.319925057784675e-17,1.2233853340148926e-05,2.3267963115358725e-05,0.5,99,409600,440.961977919098,409600,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,-0.8307126760482788,-0.6940699815750122,-0.785315752029419,-1.011083960533142,0.012647363357245922
