environment	transition	reward	kl	lr	entropy	value_loss	head_relative_residual	cholesky_info	effective_rank	condition	gae_loss	gae_mean	gae_variance	gae_rms	td_residual_rms	return_error_rms
bigfish-easy-0-10	2007040	6.02	0.021808955818414688	0.5	0.07646553218364716	0.011982625350356102	9.903925078727423e-15	0	4.7306293098652885	3574565209.634601	0.007339314091950655	-0.0038909469731152058	0.01466348860412836	0.12115538865327835	0.1033724918961525	0.15038205683231354
bigfish-easy-0-10	4014080	4.69	0.0669897273182869	0.14814814814814814	0.01153717190027237	0.016832832247018814	2.0146969511639196e-14	0	4.310127845805453	4660262.408989445	0.005962146446108818	0.007648607715964317	0.011865791864693165	0.10919841378927231	0.08043330907821655	0.14652161300182343
bigfish-easy-0-10	5980160	2.08	1.1269941901268274e-18	0.5	3.972491878394063e-18	0.009955614805221558	9.698625912353006e-14	0	2.6291768536043656	10684858.791608658	0.004431033506989479	0.0009900666773319244	0.008861087262630463	0.09413855522871017	0.08248616009950638	0.11737441271543503
bossfight-easy-0-10	2007040	0.0	0.7496213912963867	0.0011390625	0.003581735771149397	6.6258039623789955e-06	4.480173024848902e-15	0	1.4448028315002794	2104665385.0356479	1.071263227458985e-06	0.00020785487140528858	2.0993227280996507e-06	0.0014637371059507132	1.796535070752725e-05	0.001982026267796755
bossfight-easy-0-10	4014080	0.0	8.78937544355465e-15	0.5	7.361232456926103e-11	4.7858050855609235e-11	5.755665304592742e-15	0	1.3500826921482296	6401260486.764312	6.062229711278899e-12	2.945314463431714e-07	1.2037711105694626e-11	3.4820193377527175e-06	3.5882862903235946e-08	5.009586857340764e-06
bossfight-easy-0-10	5980160	0.0	-2.954018323356178e-12	0.5	1.0099136638075379e-08	8.090658351611602e-12	3.1265154542367694e-14	0	1.3051704518689171	248513138.50217396	1.5011365631437124e-12	7.739389928929086e-08	2.9962833429653113e-12	1.7327068917438737e-06	2.6026031108017378e-08	1.7502093214716297e-06
caveflyer-easy-0-10	2007040	1.1	1.604831231816206e-05	0.5	0.0005676594446413219	0.03486551344394684	7.373861003053966e-15	0	4.400608431495524	2850970095.58147	0.014390982687473297	-0.0025342856533825397	0.028775544837117195	0.16965247690677643	0.1237545982003212	0.21937023103237152
caveflyer-easy-0-10	4014080	2.2	1.6663845414655043e-08	0.5	2.4577920143542542e-08	0.0077750906348228455	2.414644226625631e-15	0	4.057429983163882	9133357153.043217	0.061480723321437836	0.025779904797673225	0.12229683250188828	0.3506585955619812	0.25054463744163513	0.4745714068412781
caveflyer-easy-0-10	5980160	0.9	-1.566774818204966e-19	0.5	9.70238759871885e-16	0.00022474680736195296	8.070360919501925e-15	0	4.227787972076897	336452107.41409457	0.00011505089059937745	-5.633576074615121e-05	0.00023009860888123512	0.015169106423854828	0.007539781276136637	0.01897617056965828
coinrun-easy-0-10	2007040	9.7	0.02433416061103344	0.14814814814814814	0.022267352789640427	0.013335948809981346	1.2789624208270593e-14	0	2.047270947304997	4999779674.07151	0.008553532883524895	-0.0016641912516206503	0.017104297876358032	0.1307939887046814	0.19492320716381073	0.19854041934013367
coinrun-easy-0-10	4014080	0.0	-3.524452385975817e-32	0.5	2.317616428309476e-28	1.7388587366440333e-05	9.979133464904926e-16	0	3.399823081941618	8864654986.259546	2.6638492727215635e-06	-0.00021208549151197076	5.282718120724894e-06	0.0023081807885318995	0.0028602215461432934	0.003116337116807699
coinrun-easy-0-10	5980160	0.0	1.237012323253882e-26	0.5	1.7012189317874593e-23	1.2621514997590566e-06	1.0855521981150288e-15	0	3.719404016405285	8981539999.722593	4.746419435264215e-08	7.500093488488346e-05	8.930323502909232e-08	0.0003081044997088611	0.001980951288715005	0.0008433411712758243
