action_max,action_min,actor_direction_l2,actor_history_projection_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,combined_clip_scale,critic_cholesky_info_max,critic_cross_blocks,critic_curvature_coef,critic_direction_l2,critic_ggn_quadratic,critic_history_projection_l2,critic_jacobi_scale_max,critic_jacobi_scale_min,critic_kernel_mode,critic_linear_solve_dtype,critic_objective_coef,critic_relative_solve_residual,critic_solve_residual,critic_solver_mode,critic_system_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,0.5026771426200867,129.41224670410156,paper_sampled_score_separate_b,0.0001396155566908419,512,-0.9325984120368958,0.15657062828540802,-0.924389123916626,-4.39851188659668,0.0857682004570961,0.0,0.8154203295707703,0,0,0.1,0.3729621469974518,8.961381912231445,17.773521423339844,1.1495631853427655,0.3901788580097013,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.6593964111819436e-14,7.261780652694772e-13,symmetric_jacobi_cholesky_fp64,512,0.00022500000000000005,1.3845216035842896,548.639344262295,2.1311476,1508,0.6131806969642639,0.05150920897722244,-0.03781808167695999,0.07549704611301422,0.00015000000000000004,9,40960,28.513393191155046,40960,1.0,1e-06,4.3001203536987305,0.38816556334495544,0.3172188699245453,2.2694358825683594,0.3902052640914917,-1.108211636543274,0.35958027839660645
14,0,0.4774463474750519,175.33474731445312,paper_sampled_score_separate_b,0.0014728164533153176,512,-1.2217130661010742,-0.019747884944081306,-1.1797817945480347,-3.758655071258545,0.07200569659471512,0.0,0.7939895987510681,0,0,0.1,0.4108291566371918,32.57353210449219,26.06850814819336,1.0838328838914215,0.2957997771211323,deterministic_value_jacobian_separate_b,torch.float64,1.0,4.764460972932586e-14,2.1124191754204153e-12,symmetric_jacobi_cholesky_fp64,512,0.00010000000000000003,0.9034305810928345,614.7,0.9,1515,0.6297311782836914,0.10838016867637634,-0.08844096958637238,0.1651063859462738,0.0001,19,81920,56.123760213144124,81920,1.0,1e-06,7.965236186981201,0.16360025107860565,0.6380182504653931,2.891449213027954,0.5597013831138611,-1.1508177518844604,0.5004929900169373
14,0,0.3796408474445343,254.34747314453125,paper_sampled_score_separate_b,0.001505260355770588,512,-1.4271461963653564,7.349524974822998,-1.475950002670288,-2.1165993213653564,0.2276088297367096,0.0,0.6517916917800903,0,0,0.1,0.6398924589157104,6.928285598754883,17.623897552490234,1.0688345476340393,0.27100260718472524,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.0452390850500484e-13,3.0057447169355573e-12,symmetric_jacobi_cholesky_fp64,512,0.002562890625,0.7792328596115112,603.23,0.79,1519,0.7671162486076355,0.06271674484014511,0.025282833725214005,0.10067473351955414,0.00170859375,29,122880,83.70463289692998,122880,1.0,1e-06,4.38905143737793,0.1293431967496872,0.5210744142532349,9.609392166137695,0.5953259468078613,-1.4408576488494873,0.6090943217277527
14,0,0.35924968123435974,539.4615478515625,paper_sampled_score_separate_b,0.004559819586575031,512,-1.6179558038711548,1.836046814918518,-1.6291714906692505,-3.3536415100097656,0.08420369774103165,0.0,0.8425225019454956,0,0,0.1,0.452571839094162,142.3053741455078,78.01748657226562,0.40902293785542115,0.18469738130246946,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.5643675351444786e-14,3.083812774499987e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.6189921498298645,613.92,1.26,1518,0.593455970287323,0.08957574516534805,-0.06089312210679054,0.055169567465782166,0.0001,39,163840,111.4941607019864,163840,1.0,1e-06,4.7133469581604,0.15073783695697784,0.4320259094238281,3.7942333221435547,0.4927111268043518,-1.587917685508728,0.28640905022621155
14,0,0.5234764814376831,1256.0185546875,paper_sampled_score_separate_b,0.009166296571493149,512,-1.6626932621002197,-1.0012881755828857,-1.6288334131240845,-3.7034056186676025,0.03569982573390007,0.0,0.731904149055481,0,0,0.1,0.4549194574356079,1102.623291015625,197.04588317871094,0.5738179220296711,0.15244833724884302,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.8084327752662382e-14,4.303772072797229e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.6794853210449219,639.07,0.93,1512,0.6831495761871338,0.12195642292499542,-0.11448696255683899,0.3594037890434265,0.0001,49,204800,139.1846810048446,204800,1.0,1e-06,10.0,0.10302562266588211,-0.46473228931427,0.6064955592155457,-0.34467506408691406,-1.6026368141174316,0.2567172348499298
13,1,0.8350571393966675,481.2797546386719,paper_sampled_score_separate_b,0.005508295726031065,512,-1.7235770225524902,-1.0072766542434692,-1.678004503250122,-5.584079742431641,0.06779860705137253,0.0,0.40164411067962646,0,0,0.1,0.45533695816993713,91.0858383178711,46.18267822265625,0.24988484508018116,0.1612534704260979,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.440816472033529e-13,1.0275666521673694e-11,symmetric_jacobi_cholesky_fp64,512,0.0001,0.2976929545402527,718.46,0.4,1515,1.2448831796646118,0.07067345082759857,-0.15033993124961853,0.22275875508785248,0.0001,59,245760,166.83351818611845,245760,1.0,1e-06,2.791836977005005,0.19296269118785858,0.8789575099945068,2.762824773788452,0.8966337442398071,-1.6241341829299927,0.8188715577125549
14,0,0.2340126782655716,216.18174743652344,paper_sampled_score_separate_b,0.016904905438423157,512,-1.7012059688568115,-0.3546002209186554,-1.6292376518249512,-7.788504123687744,0.1662159115076065,0.0,1.0,0,0,0.1,0.25231510400772095,41.58417510986328,31.302017211914062,0.6975481523327103,0.1517819153080778,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.4016738649161436e-13,7.45606522472294e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.1660124659538269,772.71,0.4,1520,0.33277225494384766,0.08823266625404358,-0.02628777176141739,0.18820393085479736,0.0001,69,286720,194.2466601440683,286720,1.0,1e-06,4.12597131729126,0.10000000149011612,0.2978719174861908,4.4823455810546875,0.3637213408946991,-1.6008597612380981,1.8282095193862915
13,1,0.15403442084789276,858.5850219726562,paper_sampled_score_separate_b,0.01027678232640028,512,-1.595448613166809,-0.40217214822769165,-1.5976637601852417,-2.971614122390747,0.021437566727399826,0.0,0.9188767671585083,0,0,0.1,0.5190524458885193,445.5281982421875,139.36404418945312,0.4352915485890371,0.15402712641479793,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.2217871624525252e-14,1.851728252339819e-12,symmetric_jacobi_cholesky_fp64,512,0.00015000000000000004,0.05663491040468216,821.46,0.4,1518,0.5441426038742065,0.06452640146017075,0.029078584164381027,0.0368800051510334,0.00010000000000000003,79,327680,221.4300289019011,327680,1.0,1e-06,1.5428919792175293,0.10000000149011612,0.1124885305762291,1.2518216371536255,0.23939727246761322,-1.563372254371643,0.6194493770599365
14,2,0.20434324443340302,471.9842834472656,paper_sampled_score_separate_b,0.0016719395061954856,512,-1.6438848972320557,-1.2794800996780396,-1.5927811861038208,-4.657337188720703,0.07581579685211182,0.0,1.0,0,0,0.1,0.23646651208400726,85.08201599121094,56.012603759765625,0.44655583263259613,0.14838008260923233,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.2858297405504343e-13,8.725349070794016e-12,symmetric_jacobi_cholesky_fp64,512,0.002562890625,0.023618154227733612,843.24,0.1,1518,0.3252854645252228,0.03800993412733078,0.02163470908999443,0.07477641105651855,0.002562890625,89,368640,248.88218369986862,368640,1.0,1e-06,1.1353873014450073,0.10000000149011612,0.3431283235549927,1.921002984046936,0.5059325695037842,-1.5545443296432495,0.9537336826324463
4,2,0.42045822739601135,954.67578125,paper_sampled_score_separate_b,0.002825308358296752,512,-1.6053354740142822,-0.8315731883049011,-1.612915277481079,-2.117185592651367,0.004220662638545036,0.0,0.9768257141113281,0,0,0.1,0.26615747809410095,392.4002685546875,134.1793212890625,0.7007415764657042,0.2754723857339247,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.0510640189071392e-15,2.9101332293501725e-13,symmetric_jacobi_cholesky_fp64,512,0.00022500000000000005,0.1889650970697403,666.09,0.4,1513,0.51186203956604,0.5071089863777161,-0.3186641335487366,0.016950756311416626,0.00015000000000000004,99,409600,276.1443786579184,409600,1.0,1e-06,9.499993324279785,0.10000000149011612,0.5074406266212463,3.863769769668579,0.4342648684978485,-1.5734899044036865,1.6780693531036377
