method,environment,misc/total_timesteps,eprewmean,kl,curr_lr,entropy,loss_v,grad_norm,actor_direction_l2,combined_clip_scale,optimizer_history_correction,critic_relative_solve_residual,critic_solve_residual,critic_direction_l2,critic_ggn_quadratic,critic_jacobi_scale_min,critic_jacobi_scale_max,critic_cholesky_info_max
Target,bigfish-easy-0-10,2007040,3.22,0.09088875353336334,0.0001,0.5792866945266724,0.17788298428058624,0.6893154382705688,0.48296403884887695,0.7253572940826416,1.0,7.359939044336956e-14,7.332856113669594e-12,0.5269884467124939,188.14756774902344,0.10606242367605984,0.45998189951399376,0
Paper,bigfish-easy-0-10,2007040,9.28,0.051500894129276276,0.00022499999999999994,1.749863862991333,0.003573544090613723,0.517615795135498,,,,,,,,,,
Paper,bigfish-easy-0-10,4014080,13.28,0.05859125405550003,0.0005062500000000001,0.6409522294998169,0.0052772462368011475,0.3803001940250397,,,,,,,,,,
Paper,bigfish-easy-0-10,5980160,14.71,0.06750531494617462,0.0011390625,0.4037071466445923,0.0030346177518367767,0.3988528847694397,,,,,,,,,,
Target,bossfight-easy-0-10,2007040,0.05,0.05541229248046875,0.0001,1.2105003595352173,0.05990121141076088,0.6204904317855835,0.46839892864227295,0.8058142066001892,1.0,7.692502449825047e-15,3.853430424206646e-13,0.3352029025554657,43.31242752075195,0.7140872263990825,0.8792472101906743,0
Paper,bossfight-easy-0-10,2007040,2.92,0.059227555990219116,0.00033750000000000007,1.4841958284378052,0.008365114219486713,0.6079062819480896,,,,,,,,,,
Paper,bossfight-easy-0-10,4014080,3.45,0.051110342144966125,0.008649755859375,0.9353547692298889,0.006069513037800789,0.39200013875961304,,,,,,,,,,
Paper,bossfight-easy-0-10,5980160,3.14,0.05957155302166939,0.0005062500000000001,0.6602389812469482,0.0031063787173479795,0.39578601717948914,,,,,,,,,,
Target,caveflyer-easy-0-10,2007040,0.73,0.18180552124977112,0.0005062500000000001,0.8628978729248047,0.06849988549947739,0.5338325500488281,0.4413605332374573,0.9366232752799988,1.0,6.465218494198067e-15,2.0023844093896747e-13,0.2790927588939667,12.950878143310547,0.8116159886097242,1.333169967915952,0
Paper,caveflyer-easy-0-10,2007040,4.45,0.05943739414215088,0.00170859375,1.9671918153762817,0.005397463217377663,0.38968491554260254,,,,,,,,,,
Paper,caveflyer-easy-0-10,4014080,5.85,0.07796280086040497,0.00010000000000000003,1.7404489517211914,0.011696349829435349,0.4457622170448303,,,,,,,,,,
Paper,caveflyer-easy-0-10,5980160,6.62,0.06635008007287979,0.00033750000000000007,2.096259832382202,0.0012167476816102862,0.32999008893966675,,,,,,,,,,
Target,coinrun-easy-0-10,2007040,6.9,2.048213005065918,0.00010000000000000003,0.21011234819889069,0.5202409625053406,0.8856838941574097,0.5969706773757935,0.5645354986190796,1.0,4.9479124166219683e-14,1.274763571316095e-11,0.5824898481369019,1288.9705810546875,0.11331717550383895,0.28643753709472036,0
Target,coinrun-easy-0-10,4014080,7.1,0.028293153271079063,0.0005062500000000001,0.10337020456790924,0.21260108053684235,0.699962854385376,0.46853548288345337,0.7143236398696899,1.0,1.6118334876531885e-13,9.207756600411284e-12,0.5257848501205444,59.24794006347656,0.10575603702449757,0.24653349815360284,0
Target,coinrun-easy-0-10,5980160,6.4,0.0431094653904438,0.0001,0.6833480000495911,0.11121813952922821,0.6610321998596191,0.4153375029563904,0.756392776966095,1.0,8.896085516873298e-14,3.657438929119563e-12,0.4740118980407715,28.08238410949707,0.18879688472065465,0.44683501547484206,0
Paper,coinrun-easy-0-10,2007040,3.7,0.03779057413339615,0.003844335937499998,2.3371527194976807,0.022101793438196182,0.4462553858757019,,,,,,,,,,
Paper,coinrun-easy-0-10,4014080,8.0,0.04222249984741211,0.0005062499999999998,1.8898208141326904,0.04139116033911705,0.5252374410629272,,,,,,,,,,
Paper,coinrun-easy-0-10,5980160,9.4,0.06338445842266083,0.0001,1.0847293138504028,0.005256177391856909,0.3385271430015564,,,,,,,,,,
