19487251|procgen-qv-A|RUNNING|0:0|03:11:28|27/08/26 06:53|Unknown|node820
19487251.batch|batch|RUNNING|0:0|03:11:28|27/08/26 06:53|Unknown|node820
19487251.extern|extern|RUNNING|0:0|03:11:28|27/08/26 06:53|Unknown|node820
19487251.0|bash|COMPLETED|0:0|00:00:03|27/08/26 06:54|27/08/26 06:54|node820
19487251.1|task52_quick_mirror_slotA.sh|COMPLETED|0:0|02:33:34|27/08/26 07:17|27/08/26 09:51|node820
19487251.2|bash|COMPLETED|0:0|00:00:04|27/08/26 07:19|27/08/26 07:19|node820
19487251.3|bash|COMPLETED|0:0|00:00:03|27/08/26 07:19|27/08/26 07:19|node820
19487251.4|bash|COMPLETED|0:0|00:00:03|27/08/26 07:24|27/08/26 07:24|node820
19487251.5|bash|COMPLETED|0:0|00:00:03|27/08/26 07:43|27/08/26 07:43|node820
19487251.6|bash|COMPLETED|0:0|00:00:04|27/08/26 08:03|27/08/26 08:04|node820
19487251.7|bash|COMPLETED|0:0|00:00:04|27/08/26 08:23|27/08/26 08:23|node820
19487251.8|bash|COMPLETED|0:0|00:00:04|27/08/26 08:51|27/08/26 08:51|node820
